#,Job_ID,WeatherFile,ModelFile,@@EW_Abs@@,@@RSolar_Abs@@,@@SG_Trans@@,@@cp_w_conc@@,@@G_k@@,@@WIns_k@@,@@RIns_k@@,@@EW_S&V_Abs@@,@@IHG@@,@@V_Rate@@,@@Inf@@,@@C_SP@@,@@Rot@@,@@Glazz@@,@@Rat@@,@@RA@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: Total cooling Annual Value [kWh],c1: Peak Total Cooling [W],c2: Sens_Cooling Annual [kWh],c3: [W],c4: [W],c5: [kWh],c6: Calc Des Load [W],c7: User Design Load [W],c8: User Design Load per Area [W/m2],c9: Glazz Ratio[%],c10: Floor Area[m2],c11: Volume [m3],c12: Window Opening Area [m2],c13: Gross Wall Area [m2],c14: North Wall Area [m2],c15: East Wall Area [m2],c16: Peak Total Cooling Time,c17: [time],,,,
0,Case1,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.025,0.065,0.01,0.782,24,0.005,0.00028,21.2,108,0.47,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,4.28,183079.68,1400572.98,-146804.03,-1073373.04,1400572.98,183079.83,1046729.39,1256075.26,78.13,46.98,16076.8,56268.8,1029.93,2192.19,226.47,869.63,0,0,11.38781847,87.11764655,,562.0503597
1,Case2,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.025,0.065,0.01,0.782,24,0.0023,0.00028,21.2,108,0.47,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,4.37,273308.14,901057.28,-223910.45,-708146.04,901057.28,273308.36,694464.37,833357.25,51.84,46.98,16076.8,56268.8,1029.93,2192.19,226.47,869.63,0,0,17.00015799,56.04705414,,
2,Case3,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.025,0.065,0.01,0.782,66,0.0023,0.00028,21.2,108,0.47,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,4.24,3274757.37,1630428.45,-3057185.87,-1384389.71,1630428.45,3274759.99,1370140.62,1644168.74,102.27,46.98,16076.8,56268.8,1029.93,2192.19,226.47,869.63,0,0,203.6946015,101.4149862,,
3,Case4,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.025,0.065,0.01,0.782,66,0.0023,0.00028,21.2,108,0.05,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,4.37,3302859.11,1590268.15,-3085740.24,-1345895.34,1590268.15,3302861.75,1331723.61,1598068.33,99.4,5,16076.8,56268.8,109.57,2192.19,226.47,869.63,0,0,205.44257,98.91695798,,
4,Case5,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.01,0.065,0.01,0.782,66,0.0023,0.00028,21.2,108,0.05,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.61,3308425.79,1589561.84,-3091269.19,-1345227.93,1589561.84,3308428.43,1331074.92,1597289.91,99.35,5,16076.8,56268.8,109.57,2192.19,226.47,869.63,0,0,205.7888255,98.87302448,,
5,Case6,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.01,0.065,0.01,0.782,66,0.0023,0.00082,21.2,108,0.05,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.61,2562705.96,1715703.88,-2328510.24,-1428586.35,1715703.88,2562708.01,1411384.7,1693661.64,105.35,5,16076.8,56268.8,109.57,2192.19,226.47,869.63,0,0,159.4039834,106.7192401,,
6,Case7,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.15,960,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,108,0.05,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.66,2554173.76,1712704.59,-2320285.38,-1425898.51,1712704.59,2554175.8,1408693.89,1690432.66,105.15,5,16076.8,56268.8,109.57,2192.19,226.47,869.63,0,0,158.8732683,106.53268,,
7,Case8,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,960,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,108,0.05,3.84,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.64,2554956.87,1712886.48,-2321041.69,-1426137.3,1712886.48,2554958.92,1408938.95,1690726.73,105.17,5,16076.8,56268.8,109.57,2192.19,226.47,869.63,0,0,158.9219789,106.5439938,,
8,Case9,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,960,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,108,0.05,3.84,25,EnergyPlus Completed Successfully,0,0,0,0,3.65,6486048.24,4232124.88,-5905694.25,-3528437.89,4232124.88,6486053.43,3486121.05,4183345.26,104.58,5,40000,140000.01,172.85,3457.86,357.22,1371.71,0,0,162.151206,105.803122,,
9,Case10,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,3240,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,108,0.05,3.84,25,EnergyPlus Completed Successfully,0,0,0,0,3.7,6489279.62,4228444.01,-5908796.27,-3526089.47,4228444.01,6489284.81,3483751.81,4180502.17,104.51,5,40000,140000.01,172.85,3457.86,357.22,1371.71,0,0,162.2319905,105.7111003,,
10,Case11,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,3240,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,0,0.05,3.84,25,EnergyPlus Completed Successfully,0,0,0,0,3.83,6486341.08,4226593.32,-5905993.63,-3524722.09,4226593.32,6486346.26,3482293.04,4178751.64,104.47,5,40000,140000.01,172.85,3457.86,1371.71,357.22,0,0,162.158527,105.664833,,
11,Case12,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,3240,0.01,0.065,0.01,0.5,66,0.0023,0.00082,21.2,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,3.76,6405140.14,4241535.78,-5823906.64,-3534544.53,4241535.78,6405145.26,3491760.94,4190113.13,104.75,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,160.1285035,106.0383945,,
12,Case13,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.828,0.288,3240,0.01,0.065,0.043,0.5,66,0.0023,0.00082,21.2,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,3.68,6383439.89,4303958.69,-5799983.95,-3575606.16,4303958.69,6383445,3534782.88,4241739.46,106.04,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,159.5859973,107.5989673,,
13,Case14,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.96,0.432,0.288,3240,0.01,0.065,0.043,0.5,66,0.0023,0.00082,21.2,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,3.67,6309611.94,4273643.38,-5728842.06,-3547994.9,4273643.38,6309616.99,3506267.07,4207520.48,105.19,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,157.7402985,106.8410845,,
14,Case15,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.684,0.432,0.288,3240,0.01,0.065,0.043,0.5,66,0.0023,0.00082,21.2,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,3.65,6320890.67,4277468.74,-5739740.78,-3551851.6,4277468.74,6320895.73,3510234.87,4212281.84,105.31,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,158.0222668,106.9367185,,
15,Case16,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.684,0.432,0.288,3240,0.01,0.032,0.043,0.5,66,0.0023,0.00082,21.2,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,3.81,6335860.95,4275110.64,-5754642.34,-3551002.2,4275110.64,6335866.02,3509369.73,4211243.68,105.28,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,158.3965238,106.877766,,
16,Case17,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.684,0.432,0.288,3240,0.01,0.032,0.043,0.5,66,0.0023,0.00082,26,0,0.05,9,25,EnergyPlus Completed Successfully,0,0,0,0,4.04,1359131.01,2887570.91,-1169116.23,-2389785.2,2887570.91,1359132.1,2346224.22,2815469.07,70.39,5,40000,139999.99,233.29,4666.67,2100,233.33,0,0,33.97827525,72.18927275,,
17,Case18,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.564,0.15,4000,0.025,0.043,0.054,0.594,38,0.0041,0.00064,22.8,72,0.61,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,4.47,110606.31,707234.56,-90408.64,-554738.18,707234.56,110606.4,542295.62,650754.74,80.32,60.97,8102.4,28358.4,1068.79,1752.96,133.61,742.87,0,0,13.65105524,87.28704581,,
18,Case19,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.564,0.15,4000,0.025,0.043,0.054,0.594,38,0.0041,0.00064,22.8,72,0.61,0.4,5.064,EnergyPlus Completed Successfully,0,0,0,0,4.22,106810.72,684557.03,-87171.98,-536791.32,684557.03,106810.8,524128.47,628954.17,77.63,60.96,8102.4,28358.4,850.3,1394.77,498.13,199.25,0,0,13.18260269,84.48818005,,
19,Case20,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.564,0.15,4000,0.025,0.043,0.054,0.594,38,0.0041,0.00064,22.8,72,0.19,0.4,5.064,EnergyPlus Completed Successfully,0,0,0,0,4.01,98532.38,661279.71,-80219.86,-516104.83,661279.71,98532.46,504032.65,604839.18,74.65,18.99,8102.4,28358.4,264.85,1394.77,498.13,199.25,0,0,12.16088813,81.61528806,,
20,Case21,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.564,0.15,4000,0.025,0.01,0.054,0.594,38,0.0041,0.00064,22.8,72,0.19,0.4,5.064,EnergyPlus Completed Successfully,0,0,0,0,4.5,98353.39,660534.4,-80076.77,-515873.74,660534.4,98353.47,503802.58,604563.1,74.62,18.99,8102.4,28358.4,264.85,1394.77,498.13,199.25,0,0,12.13879715,81.52330174,,
21,Case22,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.564,0.15,4000,0.025,0.01,0.054,0.594,38,0.0041,0.0001,22.8,72,0.19,0.4,5.064,EnergyPlus Completed Successfully,0,0,0,0,4.15,114223.48,615907.88,-93240.73,-483030.25,615907.88,114223.57,472457.37,566948.84,69.97,18.99,8102.4,28358.4,264.85,1394.77,498.13,199.25,0,0,14.09748716,76.01548677,,
22,Case23,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.15,4000,0.025,0.01,0.054,0.594,38,0.0041,0.0001,22.8,72,0.19,0.4,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.77,113464.87,614131.46,-92603.96,-481495.32,614131.46,113464.96,470878.84,565054.6,69.74,18.99,8102.4,28358.4,264.85,1394.77,498.13,199.25,0,0,14.00385935,75.79624062,,
23,Case24,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.15,4000,0.025,0.01,0.054,0.594,38,0.0041,0.0001,22.8,72,0.19,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.66,445748.74,2404790.35,-363608.56,-1884579.47,2404790.35,445749.09,1843301.83,2211962.19,69.07,18.99,32025.6,112089.61,526.7,2772.97,990.35,396.14,0,0,13.91851331,75.08962674,,
24,Case25,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.288,4000,0.025,0.01,0.054,0.594,38,0.0041,0.0001,22.8,72,0.19,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.67,447360.32,2406845.37,-364956.25,-1886614.98,2406845.37,447360.68,1845347.42,2214416.91,69.15,18.99,32025.6,112089.61,526.7,2772.97,990.35,396.14,0,0,13.96883493,75.15379478,,
25,Case26,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.288,4000,0.01,0.01,0.054,0.594,38,0.0041,0.0001,22.8,72,0.19,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.72,447828.79,2404284.25,-365328.74,-1884392.51,2404284.25,447829.14,1843186.45,2211823.74,69.06,18.99,32025.6,112089.61,526.7,2772.97,990.35,396.14,0,0,13.98346292,75.07382375,,
26,Case27,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.288,4000,0.01,0.01,0.054,0.594,38,0.0041,0.0001,22.8,180,0.19,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.74,448662.82,2409786.42,-366043.99,-1888431,2409786.42,448663.18,1847678.59,2217214.31,69.23,18.99,32025.6,112089.61,526.7,2772.97,396.14,990.35,0,0,14.00950552,75.24562912,,
27,Case28,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.288,4000,0.01,0.01,0.054,0.876,38,0.0041,0.0001,22.8,180,0.19,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.83,449079.64,2410366.54,-366387.61,-1888882.92,2410366.54,449080,1848128.6,2217754.32,69.25,18.99,32025.6,112089.61,526.7,2772.97,396.14,990.35,0,0,14.02252073,75.26374338,,
